"","X2.top","X2.bottom"
"1",49460,5005
"2",306629,60955
"3",431815,155358
"4",570112,193504
"5",634232,194419
"6",645738,195399
"7",651084,200006
"8",668521,291672
"9",825351,327597
"10",868168,389204
"11",915445,403014
"12",1080191,406125
"13",1119551,413872
"14",1245161,414221
"15",1259335,420694
"16",1367634,420725
"17",1404798,426187
"18",1450384,433478
"19",1663304,446175
"20",1775834,479803
"21",1787905,481010
"22",1789892,498588
"23",1791071,500213
"24",1989445,517104
"25",1993922,517113
"26",2058092,517257
"27",2153017,517339
"28",2180910,524341
"29",2230978,539539
"30",2315354,549768
"31",2531654,550847
"32",2551314,550892
"33",2665501,574213
"34",2729235,576095
"35",3120902,592625
"36",3127750,599014
"37",3230477,602466
"38",3498092,609350
"39",3867547,609959
"40",3869172,656064
"41",3883052,692442
"42",3949657,734761
"43",3985482,744023
"44",4053361,772119
"45",4057520,773109
"46",4110095,796409
"47",4118572,803845
"48",4125510,813857
"49",4132403,825566
"50",4140429,825575
"51",4144304,827227
"52",4151990,834198
"53",4153228,834207
"54",4161689,839508
"55",4176500,843812
"56",4216890,849897
"57",4382196,857915
"58",4532106,872195
"59",4596119,874190
"60",4704163,875791
"61",4704190,879020
"62",4714016,887135
"63",4717112,889851
"64",4817205,903942
"65",4820510,924411
"66",4821052,928602
"67",4821150,975088
"68",4823720,976237
"69",4824340,1001198
"70",4825765,1005422
"71",4827444,1009284
"72",4844465,1025261
"73",5200905,1093821
"74",5211531,1106433
"75",5352976,1115327
"76",5360748,1134461
"77",5360791,1134767
"78",5370475,1136287
"79",5385012,1156287
"80",5388755,1208729
"81",5399362,1238048
"82",5411656,1242983
"83",5448370,1248618
"84",5671337,1254779
"85",5699706,1256150
"86",6043867,1257652
"87",6068274,1262482
"88",6170957,1263390
"89",6339994,1264221
"90",6598901,1353415
"91",6674079,1353556
"92",7151519,1359230
"93",7280252,1381649
"94",7289316,1388070
"95",7289325,1401228
"96",7322049,1406461
"97",7325852,1409911
"98",8228657,1425810
"99",8452221,1430483
"100",9012886,1444196
"101",9715588,1446096
"102",9809586,1446158
"103",9812759,1446833
"104",10055744,1451021
"105",10388690,1459603
"106",10760645,1468532
"107",11225136,1474660
"108",11229877,1479192
"109",11301833,1479848
"110",11639648,1481160
"111",12361459,1485557
"112",12481143,1488165
"113",12798485,1496044
"114",12929351,1502558
"115",13198446,1560444
"116",13479790,1574637
"117",13649087,1583469
"118",14012617,1641592
"119",14520450,1685618
"120",14643654,1695792
"121",14951444,1715281
"122",15018582,1786877
"123",15042344,1806581
"124",15132111,1813106
"125",15625949,1815694
"126",16267537,1820819
"127",16282743,1840151
"128",16408910,1874518
"129",17487338,1911781
"130",17520328,1950634
"131",17932676,1953136
"132",17932685,1959630
"133",17956624,1964751
"134",17956633,1977437
"135",18308151,2002200
"136",18776005,2010329
"137",18823185,2015850
