"","X15.top","X15.bottom"
"1",610,4869
"2",34397,22876
"3",35261,59891
"4",38637,77385
"5",54631,77497
"6",56840,83403
"7",59019,87765
"8",61216,89267
"9",62616,91039
"10",64404,106317
"11",64968,113485
"12",66372,157360
"13",70705,184779
"14",73752,196765
"15",75943,198277
"16",131177,202743
"17",134538,202873
"18",137008,207791
"19",158552,209605
"20",210395,211059
"21",788337,218782
"22",1071064,230861
"23",1315008,239736
"24",1316949,240423
"25",1428698,247362
"26",1429013,247516
"27",1443954,249229
"28",1452341,251335
"29",1484168,255261
"30",1824234,262409
"31",1991309,266930
"32",2187053,267569
"33",2242551,271616
"34",2363716,273474
"35",2811736,273692
"36",2814309,274056
"37",3061739,285378
"38",3088449,299120
"39",3112140,317548
"40",3398100,319064
"41",3404193,331184
"42",3503653,351004
"43",3808640,369402
"44",3976294,372092
"45",4043252,374902
"46",4168092,412919
"47",4183022,424594
"48",4373804,442828
"49",4488923,446716
"50",4619269,446855
"51",4633792,456802
"52",4643864,460725
"53",4667298,462500
"54",4678928,469709
"55",4738136,482093
"56",4787132,502531
"57",4790452,502711
"58",4914387,503530
"59",4914912,511813
"60",4986902,644648
"61",4987069,882222
"62",5131641,907946
"63",5192211,921455
"64",5194222,960738
"65",5195540,983977
"66",5408046,984902
"67",5509092,994223
"68",5646489,997800
"69",5693179,1048963
"70",5737207,1073823
"71",5840213,1089690
"72",5883552,1089783
"73",5926560,1137274
"74",5935527,1147456
"75",6041257,1181099
"76",6053152,1323083
"77",6151903,1373343
"78",6214504,1435157
"79",6280760,1507020
"80",6302609,1609757
"81",6372179,1626261
"82",6460574,1631831
"83",6517079,1640872
"84",6537317,1657013
"85",6583134,1657259
"86",6638992,1662752
"87",6687548,1745251
"88",6707333,1944311
"89",6796454,1948362
"90",6996974,1961405
"91",7094946,2000541
"92",7302324,2014219
"93",7686178,2014708
"94",7721910,2086757
"95",7725190,2097368
"96",7733525,2114419
"97",7875530,2302671
"98",7965523,2388089
"99",7987300,2389663
"100",7996638,2479397
"101",8248612,2592959
"102",8278392,2623194
"103",8303319,2676623
"104",8304083,2706195
"105",8466434,2717213
"106",8469642,2722198
"107",8558200,2735031
"108",8615930,2741517
"109",8628777,2806145
"110",8685515,2819461
"111",8706283,2833662
"112",9062387,2918786
"113",9306516,2922695
"114",9344768,2925829
"115",9433665,2926998
"116",9727203,2943879
"117",9731246,2944262
"118",9950356,3053762
"119",10432324,3113201
"120",10472567,3119438
"121",10596824,3122907
"122",10682510,3126821
"123",10752782,3137233
"124",10897033,3156367
"125",11135349,3157377
"126",11137708,3184121
"127",11319985,3225591
"128",11471171,3234460
"129",11518655,3245398
"130",11772062,3262999
"131",11993227,3264686
"132",12218494,3294812
"133",12292426,3306454
"134",12441833,3312058
"135",13046029,3317208
"136",13149071,3322100
"137",13378529,3332593
"138",13434886,3337662
"139",13487541,3340316
"140",13736646,3350257
"141",14010990,3356622
"142",14116003,3362079
"143",14258415,3368486
"144",14317553,3375395
"145",14336659,3376259
"146",14350300,3376916
"147",14391359,3398843
"148",14464167,3420846
"149",14510608,3426830
"150",14525506,3431791
"151",14627453,3436982
"152",14704382,3440746
"153",14713578,3469869
"154",14811628,3474552
"155",14846072,3483119
"156",14910603,3491459
"157",15076349,3497905
"158",15195825,3528141
"159",15217266,3548754
"160",15279497,3553633
"161",15329099,3558300
"162",15331108,3586103
"163",15438617,3591912
"164",15544118,3597987
"165",15603698,3617434
"166",15642261,3661229
"167",15656347,3666884
"168",15674926,3669366
"169",15716783,3861702
"170",15725596,4066622
"171",15726042,4145956
"172",15734022,4163509
"173",15739489,4251204
"174",15753497,4257019
"175",15844222,4353182
"176",15845111,4408629
"177",15859274,4419439
"178",15873486,4636818
"179",15932648,4792401
"180",15958097,4937231
"181",15964437,4991202
"182",16115350,5284609
"183",16139236,5479176
"184",16223659,5496465
"185",16290222,5568445
"186",16378275,5608010
"187",16389638,5726894
"188",16460535,5753343
"189",16670566,5795309
"190",16739119,6100520
"191",16827456,6100984
"192",16951181,6183301
"193",17099614,6247693
"194",17179721,6250334
"195",17179910,6263547
"196",17189054,6275082
"197",17453782,6345925
"198",17507435,6362761
"199",17557110,6365001
"200",17642240,6375478
"201",17694975,6419811
"202",17861206,6424767
"203",18107734,6427961
"204",18133853,6449236
"205",18210841,6488340
"206",18258649,6497405
"207",18449946,6498324
"208",18653336,6546836
"209",18761434,6578776
"210",18978817,6583549
"211",18997396,6657819
"212",19015556,6663424
"213",19222824,6716228
"214",19304906,6732496
"215",19562125,6766607
"216",19601236,6808531
"217",19622066,6814803
"218",19790167,6829766
"219",20170399,6830547
"220",20172134,6833100
"221",20218592,6833125
"222",20307598,6835071
"223",20384835,6836400
"224",20515873,6849896
"225",20530337,6850429
"226",20611234,6856915
"227",20621030,6857547
"228",20850341,6890047
"229",20870893,6891489
"230",20879208,6910512
"231",20885233,6912267
"232",21032120,6939334
"233",21081969,6939757
"234",21168201,6952055
"235",21194198,6966649
"236",21231742,6972694
"237",21325355,6981415
"238",21437488,7029366
"239",21568780,7039941
"240",21694347,7046306
"241",21779893,7117619
"242",21812035,7132862
"243",21906176,7148529
"244",21914000,7148606
"245",21923881,7242497
"246",21956363,7243840
"247",21975331,7260738
"248",22019886,7279889
"249",22038939,7296656
"250",22065282,7309440
"251",22077167,7343083
"252",22110183,7345282
"253",22129773,7346875
"254",22179026,7357146
"255",22263987,7358548
"256",22304203,7360450
"257",22332453,7362517
"258",22344944,7364294
"259",22416917,7370691
"260",22485751,7586972
"261",22540399,7598144
"262",22579990,7605374
"263",22592499,7611638
"264",22634399,7613497
"265",22650844,7659511
"266",22669320,7700651
"267",22695743,7766343
"268",22984656,7766718
"269",23009764,7775702
"270",23098449,7803092
"271",23164004,7842209
"272",23164543,7903858
"273",23251877,7904710
"274",23307390,7915297
"275",23325407,7970126
"276",23340836,7975771
"277",23356764,8011949
"278",23356922,8016285
"279",23414824,8021169
"280",23558580,8024667
"281",23568472,8049770
"282",23580612,8057199
"283",23586662,8058295
"284",23599681,8061528
"285",23609234,8071087
"286",23627687,8076157
"287",23629778,8079164
"288",23716771,8104870
"289",23719727,8116340
"290",23735262,8154524
"291",23740621,8164030
"292",23867489,8175000
"293",23891233,8184802
"294",23906079,8196295
"295",23921148,8243933
"296",23994865,8247830
"297",24082445,8416655
"298",24093360,8445961
"299",24127821,8494055
"300",24131664,8497525
"301",24176235,8515574
"302",24209837,8536024
"303",24214688,8556050
"304",24231686,8604536
"305",24273934,8612427
"306",24299890,8617456
"307",24310640,8627561
"308",24316763,8673816
"309",24320554,8692671
"310",24351825,8699368
"311",24374397,8738673
"312",24383292,8753006
"313",24386774,8793866
"314",24401268,8811328
"315",24412218,8836585
"316",24471532,8847251
"317",24473491,8858138
"318",24474619,8898322
"319",24480388,8903159
"320",24486020,8918502
"321",24526945,8928397
"322",24537636,8937126
"323",24540709,8949682
"324",24545940,8980386
"325",24572324,8987655
"326",24574293,9001340
"327",24587443,9006114
"328",24589837,9013481
"329",24595275,9069483
"330",24598834,9071546
"331",24631079,9128989
"332",24672795,9140910
"333",24697604,9150216
"334",24741723,9150924
"335",24838378,9158001
"336",24839934,9164951
"337",24840162,9170036
"338",24853769,9184084
"339",24862142,9217937
"340",24863022,9222705
"341",24875636,9223364
"342",24878667,9230733
"343",24887883,9256113
"344",24896870,9298606
"345",24921356,9317747
"346",25002694,9329304
"347",25014519,9365542
"348",25027652,9366210
"349",25030061,9382747
"350",25030715,9426966
"351",25126255,9431820
"352",25147850,9437382
"353",25155891,9449389
"354",25198568,9452677
"355",25278380,9457914
"356",25438436,9482847
"357",25457002,9484699
"358",25589551,9498760
"359",25661372,9521336
"360",25695967,9590544
"361",25698619,9606679
"362",25842866,9622091
"363",25958025,9659272
"364",25969531,9698424
"365",25983488,9722458
"366",25996017,9731763
"367",26015724,9737275
"368",26051698,9769004
"369",26065619,9769443
"370",26093529,9777152
"371",26108150,9799073
"372",26139797,9807671
"373",26148856,9850016
"374",26171757,9868940
"375",26212684,9875626
