"","X28.top","X28.bottom"
"1",200914,42529
"2",295965,75737
"3",456400,88036
"4",524454,108030
"5",596310,312413
"6",596697,772979
"7",1126846,1170265
"8",2177381,1298619
"9",2230992,1349501
"10",3272014,1535808
"11",3274427,1580960
"12",3308139,1780770
"13",3522170,1914410
"14",4121598,2082071
"15",6242652,2226160
"16",6493061,2579821
"17",6762248,2603938
"18",7041804,3084904
"19",7135699,3095124
"20",7393244,3672181
"21",7446596,3947265
"22",7446671,4397365
"23",7446704,4614120
"24",7941346,4853790
"25",8110336,6772768
"26",8110706,6978722
"27",8598357,9211921
"28",8887795,9212052
"29",8888466,9212061
"30",9026303,10303662
"31",9230887,11060444
"32",9255446,11061172
"33",9595009,11186131
"34",12247809,11235614
"35",12247840,11331558
"36",13562439,11370029
"37",13563172,12073945
"38",13731442,12097582
"39",13779190,12335159
"40",13779327,12372185
"41",13909187,12469366
"42",13919196,12469586
"43",15511306,12568283
"44",15691185,14632472
"45",16644518,14632513
"46",16869368,14700488
"47",17864205,14984175
"48",18005341,14985285
"49",18005412,14995095
"50",18005562,15067331
"51",19004808,15287652
"52",19004965,15505363
"53",19005314,16296351
"54",19013377,17444249
"55",19017531,17444500
"56",19663054,17865736
"57",20157149,18267006
"58",21094502,18895448
"59",24556638,19179326
"60",24960949,19372290
"61",24961215,19576655
"62",25344445,19576685
"63",26735859,20968099
"64",26735889,21351329
"65",26940254,21351595
"66",27133218,21755906
"67",27417096,25218042
"68",28045538,26155395
"69",28446808,26649490
"70",28868044,27295013
"71",28868295,27299167
"72",30016193,27307230
"73",30807181,27307579
"74",31024892,27307736
"75",31245213,28306982
"76",31317449,28307132
"77",31327259,28307203
"78",31328369,28448339
"79",31612056,29443176
"80",31680031,29668026
"81",31680072,30621359
"82",33744261,30801238
"83",33842958,32393348
"84",33843178,32403357
"85",33940359,32533217
"86",33977385,32533354
"87",34214962,32581102
"88",34238599,32749372
"89",34942515,32750105
"90",34980986,34064704
"91",35076930,34064735
"92",35126413,36717535
"93",35251372,37057098
"94",35252100,37081657
"95",36008882,37286241
"96",37100483,37424078
"97",37100492,37424749
"98",37100623,37714187
"99",39333822,38201838
"100",39539776,38202208
"101",41458754,38371198
"102",41698424,38865840
"103",41915179,38865873
"104",42365279,38865948
"105",42640363,38919300
"106",43217420,39176845
"107",43227640,39270740
"108",43708606,39550296
"109",43732723,39819483
"110",44086384,40069892
"111",44230473,42190946
"112",44398134,42790374
"113",44531774,43004405
"114",44731584,43038117
"115",44776736,43040530
"116",44963043,44081552
"117",45013925,44135163
"118",45142279,45185698
"119",45539565,45715847
"120",46000131,45716234
"121",46204514,45788090
"122",46224508,45856144
"123",46236807,46016579
"124",46270015,46111630
