"","X10.top","X10.bottom"
"1",151366,75749
"2",192758,99503
"3",571310,133722
"4",629345,214576
"5",672351,292992
"6",769696,390922
"7",879406,403808
"8",888664,407440
"9",894385,422239
"10",1153268,433708
"11",1155877,534347
"12",1316144,549157
"13",1339493,567302
"14",1471195,581403
"15",1525186,677302
"16",1578555,726774
"17",1625573,726994
"18",1646489,762683
"19",1745462,783389
"20",1858998,857144
"21",1921096,1129826
"22",1979507,1267800
"23",1994355,1302001
"24",2069899,1436247
"25",2096034,1455916
"26",2098420,1752380
"27",2126910,1866055
"28",2220870,1920620
"29",2711904,1923217
"30",2949999,1962522
"31",2980371,1967742
"32",3042472,2031133
"33",3053356,2058597
"34",3107639,2060696
"35",3156485,2198222
"36",3170687,2316260
"37",3171127,2318939
"38",3215056,2345603
"39",3311169,2359198
"40",3418270,2493242
"41",3610854,2585044
"42",3685717,2600716
"43",3758551,2709783
"44",3813556,2710308
"45",3863163,2756300
"46",3919489,2810202
"47",3929968,2856915
"48",3936346,2903631
"49",3943678,2946151
"50",3957284,2964617
"51",3993899,3010035
"52",3996444,3063122
"53",4033110,3069908
"54",4092435,3101935
"55",4284595,3110675
"56",4298541,3135030
"57",4500264,3282407
"58",4570536,3320151
"59",4631368,3409425
"60",4889550,3521792
"61",5165198,3522849
"62",5204144,3541566
"63",5306254,3620173
"64",5319458,3698992
"65",5325261,3773176
"66",5374731,3858522
"67",5506291,3921476
"68",5637089,4288414
"69",5674934,4306995
"70",5684151,4322958
"71",5690001,4356814
"72",5696883,4398065
"73",5710673,4399928
"74",5840485,4533180
"75",6016481,4551780
"76",6225920,4660778
"77",6329070,4678973
"78",6441324,4749048
"79",6654979,4870696
"80",6678386,4884073
"81",6741779,4887164
"82",6754359,5001249
"83",6777683,5009745
"84",6879528,5228179
"85",6909319,5249357
"86",6949104,5328249
"87",6954152,5385282
"88",6978475,5391360
"89",6996057,5418990
"90",7026243,5447803
"91",7095236,5463926
"92",7096888,5529129
"93",7155136,5576263
"94",7306154,5587529
"95",7340496,5626523
"96",7487091,5667975
"97",7540800,5680409
"98",7547703,5768973
"99",7601579,5784353
"100",7634050,5905550
"101",7659641,5918173
"102",7737202,5953767
"103",7748041,6015006
"104",7788914,6288607
"105",7877728,6289624
"106",7945934,6300248
"107",7959679,6352644
"108",8013903,6454581
"109",8049228,6556451
"110",8118656,6584655
"111",8135935,6982958
"112",8189906,7019097
"113",8210151,7079660
"114",8338852,7183619
"115",8355284,7376169
"116",8379527,7418527
"117",8507291,7640754
"118",8541034,7674923
